Snowflake Headers,Snowflake Field Names ,Dictionary Headers
SPORTS_FISHING_ALL,Sports - Fishing - All,SPORTS_FISHING_ALL
SPORTS_FITNESS_EXERCISE_ALL,Sports - Fitness/Exercise - All,SPORTS_FITNESS_EXERCISE_ALL
SPORTS_GOLF_ALL,Sports - Golf - All,SPORTS_GOLF_ALL
SPORTS_HUNTING_BIG_GAME_ALL,Sports - Hunting - Big Game - All,SPORTS_HUNTING_BIG_GAME_ALL
SPORTS_HUNTING_SHOOTING_ALL,Sports - Hunting/Shooting - All,SPORTS_HUNTING_SHOOTING_ALL
SPORTS_NASCAR_ALL,Sports - NASCAR - All,SPORTS_NASCAR_ALL
SPORTS_RUNNING_JOGGING_ALL,Sports - Running/Jogging - All,SPORTS_RUNNING_JOGGING_ALL
SPORTS_SKIING_SNOWBOARDING_ALL,Sports - Skiing/Snowboarding - All,SPORTS_SKIING_SNOWBOARDING_ALL
SPORTS_SPORT_PARTICIPATION_ALL,Sports - Sports Participation - All,SPORTS_SPORT_PARTICIPATION_ALL
SPORTS_WALKING_FOR_HEALTH_ALL,Sports - Walking for Health - All,SPORTS_WALKING_FOR_HEALTH_ALL
SPORTS_YOGA_PILATES_ALL,Sports - Yoga/Pilates - All,SPORTS_YOGA_PILATES_ALL
TRAVEL_BUSINESS_TRAVEL_ALL,Travel - Business Travel - All,TRAVEL_BUSINESS_TRAVEL_ALL
TRAVEL_CASINO_GAMBLING_ALL,Blank Space,
TRAVEL_CRUISESHIP_VACATION_ALL,Travel - Cruise Ship Vacation - All,TRAVEL_CRUISESHIP_VACATION_ALL
TRAVEL_INTERNATIONAL_ALL,Travel - International Travel - All,TRAVEL_INTERNATIONAL_ALL
TRAVEL_LEISURE_TRAVEL_ALL,Travel - Leisure Travel - All,TRAVEL_LEISURE_TRAVEL_ALL
TRAVEL_RV_VACATIONS_ALL,Travel - RV Vacations - All,TRAVEL_RV_VACATIONS_ALL
TRAVEL_TIMESHARE_ALL,Travel - Timeshare - All,TRAVEL_TIMESHARE_ALL
TRAVEL_TRAVEL_IN_THE_USA_ALL,Travel - Travel in the USA - All,TRAVEL_TRAVEL_IN_THE_USA_ALL
TRAVEL_TRAVELER_ALL,Travel - Traveler - All,TRAVEL_TRAVELER_ALL
OTHER_MILITARY_VETERAN_HH_ALL,Other - Military Veteran in Household - All,OTHER_MILITARY_VETERAN_HH_ALL
OTHER_OWN_SMART_PHONE_ALL,Other - Own a Smart Phone - All,OTHER_OWN_SMART_PHONE_ALL
FACEBOOK_USER_ALL,Facebook User - All,FACEBOOK_USER_ALL
INSTAGRAM_USER_ALL,Instagram User - All,INSTAGRAM_USER_ALL
PINTEREST_USER_ALL,Pinterest User - All,PINTEREST_USER_ALL
TWITTER_USER_ALL,Twitter User - All,TWITTER_USER_ALL
NUM_LIFESTYLES_ALL,Number of Lifestyles - All,NUM_LIFESTYLES_ALL
NUM_LIFESTYLES_SELF_REPT,Number of Lifestyles - Self Reported,NUM_LIFESTYLES_SELF_REPT
ADV_HH_EDU_ENH,Advantage Household Education - Enhanced,
